state,element left,element right,element up,element down
840,log,out-bounds,car,empty
841,log,out-bounds,car,water
842,log,out-bounds,car,car
843,log,out-bounds,car,log
844,log,out-bounds,car,lilypad
845,log,out-bounds,car,out-bounds
846,log,out-bounds,log,empty
847,log,out-bounds,log,water
848,log,out-bounds,log,car
849,log,out-bounds,log,log
850,log,out-bounds,log,lilypad
851,log,out-bounds,log,out-bounds
852,log,out-bounds,lilypad,empty
853,log,out-bounds,lilypad,water
854,log,out-bounds,lilypad,car
855,log,out-bounds,lilypad,log
856,log,out-bounds,lilypad,lilypad
857,log,out-bounds,lilypad,out-bounds
858,log,out-bounds,out-bounds,empty
859,log,out-bounds,out-bounds,water
860,log,out-bounds,out-bounds,car
861,log,out-bounds,out-bounds,log
862,log,out-bounds,out-bounds,lilypad
863,log,out-bounds,out-bounds,out-bounds
864,lilypad,empty,empty,empty
865,lilypad,empty,empty,water
866,lilypad,empty,empty,car
867,lilypad,empty,empty,log
868,lilypad,empty,empty,lilypad
869,lilypad,empty,empty,out-bounds
870,lilypad,empty,water,empty
871,lilypad,empty,water,water
872,lilypad,empty,water,car
873,lilypad,empty,water,log
874,lilypad,empty,water,lilypad
875,lilypad,empty,water,out-bounds
876,lilypad,empty,car,empty
877,lilypad,empty,car,water
878,lilypad,empty,car,car
879,lilypad,empty,car,log
880,lilypad,empty,car,lilypad
881,lilypad,empty,car,out-bounds
882,lilypad,empty,log,empty
883,lilypad,empty,log,water
884,lilypad,empty,log,car
885,lilypad,empty,log,log
886,lilypad,empty,log,lilypad
887,lilypad,empty,log,out-bounds
888,lilypad,empty,lilypad,empty
889,lilypad,empty,lilypad,water
890,lilypad,empty,lilypad,car
891,lilypad,empty,lilypad,log
892,lilypad,empty,lilypad,lilypad
893,lilypad,empty,lilypad,out-bounds
894,lilypad,empty,out-bounds,empty
895,lilypad,empty,out-bounds,water
896,lilypad,empty,out-bounds,car
897,lilypad,empty,out-bounds,log
898,lilypad,empty,out-bounds,lilypad
899,lilypad,empty,out-bounds,out-bounds
900,lilypad,water,empty,empty
901,lilypad,water,empty,water
902,lilypad,water,empty,car
903,lilypad,water,empty,log
904,lilypad,water,empty,lilypad
905,lilypad,water,empty,out-bounds
906,lilypad,water,water,empty
907,lilypad,water,water,water
908,lilypad,water,water,car
909,lilypad,water,water,log
910,lilypad,water,water,lilypad
911,lilypad,water,water,out-bounds
912,lilypad,water,car,empty
913,lilypad,water,car,water
914,lilypad,water,car,car
915,lilypad,water,car,log
916,lilypad,water,car,lilypad
917,lilypad,water,car,out-bounds
918,lilypad,water,log,empty
919,lilypad,water,log,water
920,lilypad,water,log,car
921,lilypad,water,log,log
922,lilypad,water,log,lilypad
923,lilypad,water,log,out-bounds
924,lilypad,water,lilypad,empty
925,lilypad,water,lilypad,water
926,lilypad,water,lilypad,car
927,lilypad,water,lilypad,log
928,lilypad,water,lilypad,lilypad
929,lilypad,water,lilypad,out-bounds
930,lilypad,water,out-bounds,empty
931,lilypad,water,out-bounds,water
932,lilypad,water,out-bounds,car
933,lilypad,water,out-bounds,log
934,lilypad,water,out-bounds,lilypad
935,lilypad,water,out-bounds,out-bounds
936,lilypad,car,empty,empty
937,lilypad,car,empty,water
938,lilypad,car,empty,car
939,lilypad,car,empty,log
940,lilypad,car,empty,lilypad
941,lilypad,car,empty,out-bounds
942,lilypad,car,water,empty
943,lilypad,car,water,water
944,lilypad,car,water,car
945,lilypad,car,water,log
946,lilypad,car,water,lilypad
947,lilypad,car,water,out-bounds
948,lilypad,car,car,empty
949,lilypad,car,car,water
950,lilypad,car,car,car
951,lilypad,car,car,log
952,lilypad,car,car,lilypad
953,lilypad,car,car,out-bounds
954,lilypad,car,log,empty
955,lilypad,car,log,water
956,lilypad,car,log,car
957,lilypad,car,log,log
958,lilypad,car,log,lilypad
959,lilypad,car,log,out-bounds
960,lilypad,car,lilypad,empty
961,lilypad,car,lilypad,water
962,lilypad,car,lilypad,car
963,lilypad,car,lilypad,log
964,lilypad,car,lilypad,lilypad
